rank,suite,task_id,constant_operand_rules,non_constant_operand_rules,assert_rules,total_rules
1,workspace,workspace.user_task_22,0,0,0,0
2,workspace,workspace.user_task_24,0,0,0,0
3,workspace,workspace.user_task_26,0,0,0,0
4,workspace,workspace.user_task_27,0,0,0,0
5,banking,banking.user_task_12,1,0,0,1
6,banking,banking.user_task_7,1,0,0,1
7,banking,banking.user_task_8,1,0,0,1
8,slack,slack.user_task_0,1,0,0,1
9,slack,slack.user_task_18,1,0,0,1
10,slack,slack.user_task_19,1,0,0,1
11,workspace,workspace.user_task_1,1,0,0,1
12,workspace,workspace.user_task_10,0,1,0,1
13,workspace,workspace.user_task_28,1,0,0,1
14,workspace,workspace.user_task_35,0,1,0,1
15,workspace,workspace.user_task_0,2,0,0,2
16,workspace,workspace.user_task_13,2,0,0,2
17,workspace,workspace.user_task_14,2,0,0,2
18,workspace,workspace.user_task_2,2,0,0,2
19,workspace,workspace.user_task_3,2,0,0,2
20,workspace,workspace.user_task_38,0,1,1,2
21,banking,banking.user_task_14,2,0,1,3
22,slack,slack.user_task_2,2,1,0,3
23,slack,slack.user_task_3,2,1,0,3
24,travel,travel.user_task_13,1,2,0,3
25,workspace,workspace.user_task_23,3,0,0,3
26,workspace,workspace.user_task_30,2,0,1,3
27,slack,slack.user_task_17,3,1,0,4
28,workspace,workspace.user_task_29,1,2,1,4
29,banking,banking.user_task_0,3,2,0,5
30,banking,banking.user_task_13,4,1,0,5
31,travel,travel.user_task_0,4,0,1,5
32,travel,travel.user_task_16,3,2,0,5
33,workspace,workspace.user_task_8,3,1,1,5
34,banking,banking.user_task_10,1,4,1,6
35,banking,banking.user_task_11,3,2,1,6
36,banking,banking.user_task_4,3,2,1,6
37,workspace,workspace.user_task_7,4,1,1,6
38,banking,banking.user_task_6,4,2,1,7
39,banking,banking.user_task_9,5,1,1,7
40,banking,banking.user_task_2,6,1,1,8
41,slack,slack.user_task_16,6,2,0,8
42,workspace,workspace.user_task_6,7,0,1,8
43,workspace,workspace.user_task_4,8,0,1,9
44,shopping,shopping_aurora,6,1,6,13
45,travel,travel.user_task_1,9,1,4,14
46,workspace,workspace.user_task_12,13,0,2,15
47,shopping,shopping_cheapest,6,2,8,16
48,banking,banking.user_task_15,9,6,2,17
49,travel,travel.user_task_19,6,12,0,18
